1736Y-1361500000,NBH-A08-SW-GSE-Gi1/0/20
1736Y-1361700000,NBH-A34-SW-6NW-Gi1/0/9
1736Y-1361800000,NBH-A39-SW-6E-Gi1/0/1
1736Y-1361900000,NBH-A07-SW-GNW-Gi3/0/5
1736Y-1362000000,NBH-A10-SW-1NE-Gi2/0/7
1736Y-1362100000,NBH-A07-SW-GNW-Gi4/0/2
1736Y-1362200000,NBH-A29-SW-5NE-Gi2/0/8
1736Y-1362300000,NBH-A08-SW-GSE-Gi2/0/19
1736Y-1362400000,NBH-A05-SW-GNE-Gi4/0/5
1736Y-1362500000,NBH-A25-SW-4NE-Gi2/0/1
1736Y-1362600000,NBH-A08-SW-GSE-Gi1/0/18
1736Y-1362700000,NBH-A22-SW-3NW-Gi2/0/6
1736Y-1362800000,NBH-A25-SW-4NE-Gi1/0/3
1736Y-1362900000,NBH-A05-SW-GNE-Gi2/0/30
1736Y-1363000000,NBH-A23-SW-3SE-Gi3/0/6
1736Y-1363100000,NBH-A08-SW-GSE-Gi2/0/18
1736Y-1363200000,NBH-A09-SW-GSW-Gi1/0/3
1736Y-1363300000,NBH-A12-SW-1NW-Gi5/0/6
1736Y-1363400000,NBH-A05-SW-GNE-Gi5/0/42
1736Y-1363500000,NBH-A08-SW-GSE-Gi4/0/14
1736Y-1363600000,NBH-A23-SW-3SE-Gi1/0/1
1736Y-1363700000,NBH-A05-SW-GNE-Gi3/0/2
1736Y-1363800000,NBH-A08-SW-GSE-Gi1/0/1
1736Y-1363900000,NBH-A08-SW-GSE-Gi1/0/19
1736Y-1364000000,NBH-A09-SW-GSW-Gi5/0/1
1736Y-1364100000,NBH-A26-SW-4NW-Gi2/0/8
1736Y-1364200000,NBH-A03-SW-BNE-Gi3/0/1
1736Y-1364300000,NBH-A05-SW-GNE-Gi1/0/3
1736Y-1364400000,NBH-A25-SW-4NE-Gi1/0/6
1736Y-1364500000,NBH-A33-SW-6NE-Gi1/0/1
1736Y-1364600000,NBH-A33-SW-6NE-Gi1/0/2
1736Y-1364700000,NBH-A05-SW-GNE-Gi3/0/1
1736Y-1364800000,NBH-A12-SW-1NW-Gi4/0/1
1736Y-1364900000,NBH-A09-SW-GSW-Gi5/0/12
1736Y-1365000000,NBH-A12-SW-1NW-Gi5/0/4
1736Y-1365100000,NBH-A25-SW-4NE-Gi3/0/2
1736Y-1365200000,NBH-A08-SW-GSE-Gi4/0/18
1736Y-1365300000,NBH-A33-SW-6NE-Gi1/0/7
1736Y-1365400000,NBH-A25-SW-4NE-Gi1/0/1
1736Y-1365500000,NBH-A12-SW-1NW-Gi4/0/4
1736Y-1365600000,NBH-A24-SW-3SW-Gi1/0/9
1736Y-1365700000,NBH-A29-SW-5NE-Gi2/0/6
1736Y-1365800000,NBH-A34-SW-6NW-Gi1/0/10
1736Y-1365900000,NBH-A34-SW-6NW-Gi1/0/11
1736Y-1366000000,NBH-A33-SW-6NE-Gi1/0/9
1736Y-1366100000,NBH-A05-SW-GNE-Gi3/0/5
1736Y-1366200000,NBH-A26-SW-4NW-Gi1/0/8
1736Y-1366300000,NBH-A30-SW-5NW-Gi2/0/2
1736Y-1366400000,NBH-A30-SW-5NW-Gi1/0/5
1736Y-1366500000,NBH-A03-SW-BNE-Gi3/0/6
1736Y-1366600000,NBH-A21-SW-3NE-Gi1/0/4
1736Y-1366700000,NBH-A14-SW-1SE-Gi1/0/2
