1736Y-1342900000,NBH-GSW-AP066,D8:84:66:E2:44:09,40,6,172.21.71.167,NBH-A09-SW-GSW-Gi3/0/9
1736Y-1343000000,NBH-L2SE-AP260,D8:84:66:E2:44:0E,40,1,172.21.70.201,NBH-A19-SW-2SE-Gi3/0/2
1736Y-1343100000,NBH-L4NW-AP410,D8:84:66:E2:44:13,52,1,172.21.71.131,NBH-A26-SW-4NW-Gi3/0/4
1736Y-1343200000,NBH-L4NW-AP412,D8:84:66:E2:44:18,48,6,172.21.70.243,NBH-A26-SW-4NW-Gi3/0/3
1736Y-1343300000,NBH-GNE-AP065,D8:84:66:E2:44:1D,44,11,172.21.70.206,NBH-A05-SW-GNE-Gi2/0/6
1736Y-1343400000,NBH-L6NE-AP549,D8:84:66:E2:44:22,165,11,172.21.70.228,NBH-A33-SW-6NE-Gi1/0/5
1736Y-1343500000,NBH-L4NW-AP411,D8:84:66:E2:44:27,149,1,172.21.70.180,NBH-A26-SW-4NW-Gi1/0/4
1736Y-1343600000,NBH-L6NE-AP550,D8:84:66:E2:44:2C,153,6,172.21.70.212,NBH-A33-SW-6NE-Gi1/0/8
1736Y-1343700000,NBH-L4NW-AP413,D8:84:66:E2:44:31,165,11,172.21.71.33,NBH-A26-SW-4NW-Gi2/0/4
1736Y-1343800000,NBH-L1NE-AP157,D8:84:66:E2:44:36,48,6,172.21.71.22,NBH-A10-SW-1NE-Gi1/0/7
1736Y-1343900000,NBH-L4NW-AP416,D8:84:66:E2:44:3B,44,11,172.21.71.21,NBH-A26-SW-4NW-Gi3/0/1
1736Y-1344000000,NBH-BNW-AP639,D8:84:66:E2:44:40,36,6,172.21.71.115,NBH-A04-SW-BNW-Gi1/0/5
1736Y-1344100000,NBH-L1NE-AP156,D8:84:66:E2:44:45,149,1,172.21.71.143,NBH-A10-SW-1NE-Gi2/0/9
1736Y-1344200000,NBH-L4NW-AP415,D8:84:66:E2:44:4A,40,1,172.21.70.253,NBH-A26-SW-4NW-Gi2/0/5
1736Y-1344300000,NBH-L4NW-AP414,D8:84:66:E2:44:4F,157,1,172.21.70.244,NBH-A26-SW-4NW-Gi3/0/5
1736Y-1344400000,NBH-L6NW-AP673,D8:84:66:E2:44:54,100,1,172.21.71.29,NBH-A34-SW-6NW-Gi2/0/11
1736Y-1344500000,NBH-L4NW-AP417,D8:84:66:E2:44:59,161,11,172.21.71.130,NBH-A26-SW-4NW-Gi2/0/2
1736Y-1344600000,NBH-L1SW-AP160,D8:84:66:E2:44:5E,165,6,172.21.71.16,NBH-A16-SW-1SW-Gi2/0/1
1736Y-1344700000,NBH-GNE-AP067,D8:84:66:E2:44:63,153,11,172.21.70.216,NBH-A05-SW-GNE-Gi1/0/2
1736Y-1344800000,NBH-L5SW-AP679,D8:84:66:E2:44:68,165,11,172.21.68.211,NBH-A32-SW-5SW-Gi1/0/2
